Collection ID#,Author,Title,Date,Edition,References,Binding,Description,Provenance,Acquired,Price $,Price £,Images
,"FLETCHER, John","The Tragoedy of | ROLLO | Duke of Normandy. | ACTED BY HIS | Majesties Servants. | [rule] | Written by | JOHN FLETCHER | Gent. | [rule] | [ornament] | OXFORD, | Printed by LEONARD LICHFIELD | Printer to the University. | ANNO. 1640",1640,First,STC 11065,Full red levant by Sangorski & Sutcliffe.,,Abel E. Berland,"June 23, 2011, Christies sale 2456, lot 51	$1250
[Sold to Arthur Freeman rare books in 2015 for £760 and repurchased in 2016 for the same amount.]",,,
28,"SWIFT, Jonathan","[Gulliver's Travels] Travels into several remote nations of the world. In four parts. By Lemuel Fulliver, first a Surgeon, then a Captain of several Ships [Teering ""B""]",1726,Third Edition,,"Early nineteenth-century speckled calf, very skillfully rebacked; red and black morocco lettering pieces gilt; marbled end papers; all edges gilt; cloth slipcase. A superb presentation, bindings square, tight and unmarked",8° in two vol.,,7/10/2017 Fine Editions Ltd,4654.50,,
29,"THACKERAY, W[illiam] M[akepeace]",The Virginians: The Tale of the Last Century,1858-9,First Edition,,"Original publisher's yellow pictorial wraps, housed in recent custom slipcase. Without upper wrap to parts 1 and 12, slight rubbing and marking to all parts, occasional chipping and some loss to spines and edges,",8° in 24 parts,,6/12/2017 Antiquates,590.61,,
30,"JOYCE, James",Ulysses,1927,Ninth Edition,,"Published in blue paper covers. Back cover missing and edges rubbed, nicked and worn. Spine with loss and repaired with achival adhesive. ",8°,,6/12/17 Lasting Words Ltd,1312.47,,
31,BEAUMONT [Francis] & FLETCHER [John],"The Dramatick Works of Beaumont and Fletcher; with all the Former Editions, and Corrected; With Notes Critical and Exploratory by Various Commentators",,,,"In fine contemporary bindings of full calf all joints and hinges are intact, all boards securely attached, the spines with raised bands, gilt ruled bands, plain compartments, fine original red lettering pieces and small red volume roundels, all intact. Volume one sl worn at head of spine, this wear strengthened with a small piece of leather replacement. ",8°,,05/24/17 Neil Summersgill Ltd,733.95,,
32,"DICKENS, Charles",Little Dorrit,1855-7,First Edition in Serial,,20 parts bound in 19; original blue-green wrappers.,"8° each approximately 35pp., with ads at the front and rear of each issue. With errata slip at page 481, part XVI. All parts are 'good' or better. Some soiling, damp-staining, and part 19 has its front wrapper detached. Part 1 has had some of its ads at front removed/ripped, and last page of Norton's Pills half torn away. Part one additionally split along spine.",,05/15/17 Frey Fine Books,1250.00,,
33,"DE QUINCEY, Thomas",Confessions of an Opium-Eater,1822,First Edition,,"Contemporary 3/4 calf over marbled paper covered boards, with gold lettering to spine.Binding rubbed along edges, with sporadic abrasion to calf",8°,,"1/26/2017 Eric Chaim Kline, Bookseller",275.00,,
34,"GREEWAY, Richard and SAVILLE, Henry, trans.",The Annales of Cornelius Tacitus. The Description of Germanie. The End of Nero and Beginning of Galba.,1622,Fifth Edition,ESTC S117626,"Contemporary mid-brown leather-covered boards with double blind-ruled borders. Recently re-backed in contemporary style with five raised bands, with decorative blind-tooled outline, and burgundy lettering-piece. All edges speckled red.",2° Two volumes in one,,Collectable Books,,406.00,
35,"SAND, George",Comme Il Vous Plaira,1856?,,,,One page autograph manuscript,,10/19/17 Heritage Auctions,1250.00,,
36,"DICKENS, Charles",Bleak House,1852-3,First Edition in Serial,,Publisher's light blue printed paper wrappers. Housed in a chemise and slipcase.,8°,,9/14/17 Heritage Auctions,1550.00,,
